timestamp,symbol,signal,reason
2025-12-12T13:53:53.158266+00:00,SYM,skip,vol_missing
2025-12-12T13:53:53.158548+00:00,SYM,skip,vol_low
2025-12-12T13:53:53.321544+00:00,BTC/USDT,skip,ohlcv_unavailable
2025-12-12T13:55:15.120449+00:00,SYM,skip,vol_missing
2025-12-12T13:55:15.120666+00:00,SYM,skip,vol_low
2025-12-12T13:55:15.282910+00:00,BTC/USDT,skip,ohlcv_unavailable
2025-12-12T13:55:15.372780+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:55:15.412478+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:55:15.480155+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:55:15.519695+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:55:15.606146+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:55:15.646196+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:55:15.747586+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:55:15.787423+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:56:25.301938+00:00,SYM,skip,vol_missing
2025-12-12T13:56:25.302160+00:00,SYM,skip,vol_low
2025-12-12T13:56:25.463816+00:00,BTC/USDT,skip,ohlcv_unavailable
2025-12-12T13:56:25.553105+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:56:25.592363+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:56:25.658419+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:56:25.697243+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:56:25.782072+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:56:25.821368+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:56:25.925352+00:00,BTC/USDT,hold,no_predict_proba
2025-12-12T13:56:25.964773+00:00,BTC/USDT,hold,no_predict_proba
